year,genre,book_title,author_name,translator,editor,book_id,author_id,author2_id
2016,Fiction,The Association of Small Bombs,Karan Mahajan,,,25810398,1856113,
2016,Fiction,The North Water,Ian McGuire,,,25666046,3004686,
2016,Fiction,The Underground Railroad,Colson Whitehead,,,30555488,10029,
2016,Fiction,The Vegetarian,Han Kang,Deborah Smith,,25489025,4119155,
2016,Fiction,War and Turpentine,Stefan Hertmans,David McKay,,30078108,824359,
2016,Nonfiction,"At the Existentialist Cafe: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,,,25658482,1191388,
2016,Nonfiction,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,,,27833494,485392,
2016,Nonfiction,Evicted: Poverty and Profit in the American City,Matthew Desmond,,,25852784,915500,
2016,Nonfiction,In the Darkroom,Susan Faludi,,,29370484,117182,
2016,Nonfiction,"The Return: Fathers, Sons and the Land in Between",Hisham Matar,,,28007895,35807,
2015,Fiction,The Door,Magda Szabo,Len Rix,,497499,5168929,
2015,Fiction,A Manual for Cleaning Women: Selected Stories,Lucia Berlin,,Stephen Emerson,22929586,157697,
2015,Fiction,Outline,Rachel Cusk,,,21400742,46051,
2015,Fiction,The Sellout,Paul Beatty,,,22237161,44076,
2015,Fiction,"The Story of the Lost Child: Book 4, The Neapolitan Novels: ""Maturity, Old Age""",Elena Ferrante,Ann Goldstein,,25242224,44085,
2015,Nonfiction,Between the World and Me,Ta-Nehisi Coates,,,25489625,1214964,
2015,Nonfiction,Empire of Cotton: A Global History,Sven Beckert,,,20758057,97917,
2015,Nonfiction,H Is for Hawk,Helen Macdonald,,,18803640,314021,
2015,Nonfiction,The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,,,23995249,522266,
2015,Nonfiction,One of Us: The Story of Anders Breivik and the Massacre in Norway,Asne Seierstad,Sarah Death,,22237163,769979,
2014,Fiction,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,,,18143977,28186,
2014,Fiction,DEPT. OF SPECULATION,Jenny Offill,,,17402288,33794,
2014,Fiction,EUPHORIA,Lily King,,,18467802,117786,
2014,Fiction,FAMILY LIFE,Akhil Sharma,,,22253764,92333,
2014,Fiction,REDEPLOYMENT,Phil Klay,,,18114068,7114556,
2014,Nonfiction,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?,Roz Chast,,,18594409,56952,
2014,Nonfiction,ON IMMUNITY: An Inoculation,Eula Biss,,,20613511,60913,
2014,Nonfiction,PENELOPE FITZGERALD: A Life,Hermione Lee,,,17612573,11341,
2014,Nonfiction,THE SIXTH EXTINCTION: An Unnatural History,Elizabeth Kolbert,,,17910054,45840,
2014,Nonfiction,"THIRTEEN DAYS IN SEPTEMBER: Carter, Begin, and Sadat at Camp David",Lawrence Wright,,,21965079,4258,
2013,Fiction,AMERICANAH,Chimamanda Ngozi Adichie,,,15796700,11291,
2013,Fiction,THE FLAMETHROWERS,Rachel Kushner,,,15803141,164139,
2013,Fiction,THE GOLDFINCH,Donna Tartt,,,17333223,8719,
2013,Fiction,LIFE AFTER LIFE,Kate Atkinson,,,15790842,10015,
2013,Fiction,TENTH OF DECEMBER,George Saunders,,,13641208,8885,
2013,Nonfiction,"AFTER THE MUSIC STOPPED: The Financial Crisis, the Response, and the Work Ahead",Alan S. Blinder,,,15811560,95232,
2013,Nonfiction,DAYS OF FIRE: Bush and Cheney in the White House,Peter Baker,,,17288658,101983,
2013,Nonfiction,FIVE DAYS AT MEMORIAL: Life and Death in a Storm-Ravaged Hospital,Sheri Fink,,,17704902,5783658,
2013,Nonfiction,THE SLEEPWALKERS: How Europe Went to War in 1914,Christopher Clark,,,18669169,7792163,
2013,Nonfiction,WAVE,Sonali Deraniyagala,,,15771862,6450261,
2012,Fiction,BRING UP THE BODIES,Hilary Mantel,,,13507212,58851,
2012,Fiction,BUILDING STORIES,Chris Ware,,,13573235,5112,
2012,Fiction,A HOLOGRAM FOR THE KING,Dave Eggers,,,13722902,3371,
2012,Fiction,NW,Zadie Smith,,,13537891,2522,
2012,Fiction,THE YELLOW BIRDS,Kevin Powers,,,13366259,3140334,
2012,Nonfiction,"BEHIND THE BEAUTIFUL FOREVERS: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,,,11869272,4992939,
2012,Nonfiction,"FAR FROM THE TREE: Parents, Children, and the Search for Identity",Andrew Solomon,,,13547504,8650,
2012,Nonfiction,THE PASSAGE OF POWER: The Years of Lyndon Johnson,Robert A. Caro,,,13049569,722,
2012,Nonfiction,THE PATRIARCH: The Remarkable Life and Turbulent Times of Joseph P. Kennedy,David Nasaw,,,13588421,3716,
2012,Nonfiction,WHY DOES THE WORLD EXIST?: An Existential Detective Story,Jim Holt,,,8854815,1418923,
2011,Fiction,THE ART OF FIELDING,Chad Harbach,,,10996342,3452783,
2011,Fiction,11/22/63,Stephen King,,,10644930,3389,
2011,Fiction,SWAMPLANDIA!,Karen Russell,,,8584686,26417,
2011,Fiction,TEN THOUSAND SAINTS,Eleanor Henderson,,,9680533,4455701,
2011,Fiction,THE TIGER'S WIFE,Tea Obreht,,,8366402,4937879,
2011,Nonfiction,ARGUABLY: Essays,Christopher Hitchens,,,10383597,3956,
2011,Nonfiction,THE BOY IN THE MOON: A Father's Journey to Understand His Extraordinary Son,Ian Brown,,,9809455,127037,
2011,Nonfiction,MALCOLM X: A Life of Reinvention,Manning Marable,,,7940589,107079,
2011,Nonfiction,"THINKING, FAST AND SLOW",Daniel Kahneman,,,11468377,72401,
2011,Nonfiction,A WORLD ON FIRE: Britain's Crucial Role in the American Civil War,Amanda Foreman,,,8796854,183491,
2010,Fiction,FREEDOM,Jonathan Franzen,,,7905092,2578,
2010,Fiction,THE NEW YORKER STORIES,Ann Beattie,,,7841455,6746,
2010,Fiction,ROOM,Emma Donoghue,,,7937843,23613,
2010,Fiction,SELECTED STORIES,William Trevor,,,8701280,16002,
2010,Fiction,A VISIT FROM THE GOON SQUAD,Jennifer Egan,,,7331435,49625,
2010,Nonfiction,APOLLO'S ANGELS: A History of Ballet,Jennifer Homans,,,8268599,4028069,
2010,Nonfiction,CLEOPATRA: A Life,Stacy Schiff,,,7968243,5741,
2010,Nonfiction,THE EMPEROR OF ALL MALADIES: A Biography of Cancer,Siddhartha Mukherjee,,,7170627,3032451,
2010,Nonfiction,"FINISHING THE HAT: Collected Lyrics (1954-1981) With Attendant Comments, Principles, Heresies, _Grudges, Whines and Anecdotes",Stephen Sondheim,,,7769406,85858,
2010,Nonfiction,THE WARMTH OF OTHER SUNS: The Epic Story of America's Great Migration,Isabel Wilkerson,,,8171378,3567958,
2009,Fiction,BOTH WAYS IS THE ONLY WAY I WANT IT,Maile Meloy,,,5948644,10739,
2009,Fiction,CHRONIC CITY,Jonathan Lethem,,,6085191,6404,
2009,Fiction,A GATE AT THE STAIRS,Lorrie Moore,,,6076387,11746,
2009,Fiction,HALF BROKE HORSES: A True-Life Novel,Jeannette Walls,,,6366437,3275,
2009,Fiction,A SHORT HISTORY OF WOMEN,Kate Walbert,,,3863987,57415,
2009,Nonfiction,THE AGE OF WONDER: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,,,4371507,31054,
2009,Nonfiction,THE GOOD SOLDIERS,David Finkel,,,6633912,64736,
2009,Nonfiction,LIT: A Memoir,Mary Karr,,,6340016,8865,
2009,Nonfiction,LORDS OF FINANCE: The Bankers Who Broke the World,Liaquat Ahamed,,,6025160,1889150,
2009,Nonfiction,RAYMOND CARVER: A Writer's Life,Carol Sklenicka,,,5789689,320918,
2008,Fiction,DANGEROUS LAUGHTER: Thirteen Stories,Steven Millhauser,,,1540810,12589,
2008,Fiction,A MERCY,Toni Morrison,,,3009435,3534,
2008,Fiction,NETHERLAND,Joseph O'Neill,,,2615008,389474,
2008,Fiction,2666,Roberto Bolano,Natasha Wimmer,,63032,72039,
2008,Fiction,UNACCUSTOMED EARTH ,Jhumpa Lahiri,,,85301,3670,
2008,Nonfiction,THE DARK SIDE: The Inside Story of How the War on Terror Turned Into a War on American Ideals,Jane Mayer,,,3280003,485392,
2008,Nonfiction,THE FOREVER WAR,Dexter Filkins,,,2517439,1088758,
2008,Nonfiction,NOTHING TO BE FRIGHTENED OF,Julian Barnes,,,2982466,1462,
2008,Nonfiction,THIS REPUBLIC OF SUFFERING: Death and the American Civil War,Drew Gilpin Faust,,,1283566,288,
2008,Nonfiction,THE WORLD IS WHAT IT IS: The Authorized Biography of V. S. Naipaul,Patrick French,,,3006513,115110,
2007,Fiction,MAN GONE DOWN,Michael Thomas,,,79420,45142,
2007,Fiction,OUT STEALING HORSES,Per Petterson,Anne Born,,398323,225944,
2007,Fiction,THE SAVAGE DETECTIVES,Roberto Bolano,Natasha Wimmer,,63033,72039,
2007,Fiction,THEN WE CAME TO THE END,Joshua Ferris,,,97782,56223,
